"attckufo";"Attack Ufo";1980;;;"raster";"vertical";176;184;60;2;"joy2way";1;"good";"good";"good"
"sraider";"Space Raider";1982;;;"raster";"vertical";192;240;60;2;"joy4way";1;"good";"good";"good"
"redclasha";"Red Clash (set 2)";1981;"redclash";"redclash";"raster";"vertical";192;240;60;2;"joy8way";1;"preliminary";"preliminary";"preliminary"
"dorodon2";"Dorodon (set 2)";1982;"dorodon";"dorodon";"raster";"vertical";192;240;60;2;"joy4way";2;"good";"good";"good"
"docastle2";"Mr. Do's Castle (set 2)";1983;"docastle";"docastle";"raster";"vertical";192;240;59.6;2;"joy4way";2;"good";"good";"good"
"docastle";"Mr. Do's Castle (set 1)";1983;;;"raster";"vertical";192;240;59.6;2;"joy4way";2;"good";"good";"good"
"mrdu";"Mr. Du!";1982;"mrdo";"mrdo";"raster";"vertical";192;240;59.943237;2;"joy4way";1;"good";"good";"good"
"mrdofix";"Mr. Do! (bugfixed)";1982;"mrdo";"mrdo";"raster";"vertical";192;240;59.943237;2;"joy4way";1;"good";"good";"good"
"yankeedo";"Yankee DO!";1982;"mrdo";"mrdo";"raster";"vertical";192;240;59.943237;2;"joy4way";1;"good";"good";"good"
"douni";"Mr. Do vs. Unicorns";1983;"docastle";"docastle";"raster";"vertical";192;240;59.6;2;"joy4way";2;"good";"good";"good"
"docastleo";"Mr. Do's Castle (older)";1983;"docastle";"docastle";"raster";"vertical";192;240;59.6;2;"joy4way";2;"good";"good";"good"
"jjack";"Jumping Jack";1984;;;"raster";"vertical";192;240;59.6;2;"joy4way";2;"good";"good";"good"
"mrlo";"Mr. Lo!";1982;"mrdo";"mrdo";"raster";"vertical";192;240;59.943237;2;"joy4way";1;"good";"good";"good"
"redclashk";"Red Clash (Kaneko)";1981;"redclash";"redclash";"raster";"vertical";192;240;60;2;"joy8way";1;"preliminary";"preliminary";"preliminary"
"ladybugb";"Lady Bug (bootleg set 1)";1981;"ladybug";"ladybug";"raster";"vertical";192;240;60;2;"joy4way";2;"good";"good";"good"
"ladybug";"Lady Bug";1981;;;"raster";"vertical";192;240;60;2;"joy4way";2;"good";"good";"good"
"ladybgb2";"Lady Bug (bootleg set 2)";1981;"ladybug";"ladybug";"raster";"vertical";192;240;60;2;"joy4way";2;"good";"good";"good"
"redclash";"Red Clash (set 1)";1981;;;"raster";"vertical";192;240;60;2;"joy8way";1;"preliminary";"preliminary";"preliminary"
"mrdot";"Mr. Do! (Taito)";1982;"mrdo";"mrdo";"raster";"vertical";192;240;59.943237;2;"joy4way";1;"good";"good";"good"
"mrdoy";"Mr. Do! (prototype)";1982;"mrdo";"mrdo";"raster";"vertical";192;240;59.943237;2;"joy4way";1;"good";"good";"good"
"zerohour";"Zero Hour";1980;;;"raster";"vertical";192;240;60;2;"joy8way";1;"preliminary";"preliminary";"preliminary"
"mrdo";"Mr. Do!";1982;;;"raster";"vertical";192;240;59.943237;2;"joy4way";1;"good";"good";"good"
"dorodon";"Dorodon (set 1)";1982;;;"raster";"vertical";192;240;60;2;"joy4way";2;"good";"good";"good"
"cosmica";"Cosmic Alien (version II)";1979;;;"raster";"vertical";192;256;60;2;"joy2way";1;"imperfect";"imperfect";"imperfect"
"cosmica1";"Cosmic Alien (first version)";1979;"cosmica";"cosmica";"raster";"vertical";192;256;60;2;"joy2way";1;"imperfect";"imperfect";"imperfect"
"cosmica2";"Cosmic Alien (early version II?)";1979;"cosmica";"cosmica";"raster";"vertical";192;256;60;2;"joy2way";1;"imperfect";"imperfect";"imperfect"
"himesiki";"Himeshikibu (Japan)";1989;;;"raster";"vertical";192;256;60;2;"joy8way";3;"good";"good";"good"
"skylove";"Sky Love";1979;;;"raster";"vertical";192;256;59.541985;1;"joy2way";1;"imperfect";"good";"imperfect"
"omegafs";"Omega Fighter Special";1989;"omegaf";"omegaf";"raster";"vertical";192;256;59.61;2;"joy8way";2;"good";"good";"good"
"omegaf";"Omega Fighter";1989;;;"raster";"vertical";192;256;59.61;2;"joy8way";2;"good";"good";"good"
"devzone";"Devil Zone";1980;;;"raster";"vertical";192;256;60;2;"joy2way";1;"imperfect";"good";"imperfect"
"devzone2";"Devil Zone (easier)";1980;"devzone";"devzone";"raster";"vertical";192;256;60;2;"joy2way";1;"imperfect";"good";"imperfect"
"ridleofp";"Riddle of Pythagoras (Japan)";1986;;;"raster";"vertical";192;256;60;2;"dial";2;"good";"good";"good"
"nomnlnd";"No Man's Land";1980;;;"raster";"vertical";192;256;60;2;"joy8way";1;"imperfect";"good";"imperfect"
"panic2";"Space Panic (set 2)";1980;"panic";"panic";"raster";"vertical";192;256;60;2;"joy4way";2;"imperfect";"good";"imperfect"
"magspot";"Magical Spot";1980;;;"raster";"vertical";192;256;60;2;"joy2way";1;"imperfect";"good";"imperfect"
"cheekyms";"Cheeky Mouse";1980;;;"raster";"vertical";192;256;60;2;"joy2way";1;"imperfect";"good";"imperfect"
"panich";"Space Panic (harder)";1980;"panic";"panic";"raster";"vertical";192;256;60;2;"joy4way";2;"imperfect";"good";"imperfect"
"magspot2";"Magical Spot II";1980;;;"raster";"vertical";192;256;60;2;"joy2way";1;"imperfect";"good";"imperfect"
"cosmicg";"Cosmic Guerilla";1979;;;"raster";"vertical";192;256;60;2;"joy2way";1;"imperfect";"good";"imperfect"
"shuttlei";"Shuttle Invader";1979;;;"raster";"vertical";192;256;59.541985;1;"joy2way";1;"imperfect";"good";"imperfect"
"panic3";"Space Panic (set 3)";1980;"panic";"panic";"raster";"vertical";192;256;60;2;"joy4way";2;"imperfect";"good";"imperfect"
"panicger";"Space Panic (German)";1980;"panic";"panic";"raster";"vertical";192;256;60;2;"joy4way";2;"imperfect";"good";"imperfect"
"panic";"Space Panic (version E)";1980;;;"raster";"vertical";192;256;60;2;"joy4way";2;"imperfect";"good";"imperfect"
"nomnlndg";"No Man's Land (Gottlieb)";1980;"nomnlnd";"nomnlnd";"raster";"vertical";192;256;60;2;"joy8way";1;"imperfect";"good";"imperfect"
